,movie_id,batch_id,majority_answer,text,movie_name
6579,South_1_2_3_4_5_6_7_8_9_10_11,2698338569,0,"There's a bunch of birds in the sky And some deers just went running by Oh, the snow's pure and white On the earth, rich and brown Just another Sunday morning In my quiet mountain town The sun is shining and the grass is green Under the three feet of snow, I mean This is the day when it's hard to wear a frown All the happy people stop to say hello Get out of my way!",South_Park
6580,South_12_13_14,2698338569,0,"Even though the temperature's low It's a perfect Sunday morning in my quiet little mountain town Well, good morning, Stan.",South_Park
6581,South_15,2698338569,0,"- Mom, can I have $8 to see a movie? - A movie?",South_Park
6582,South_16,2698338569,0,"Yeah, it's gonna be the best movie ever! It's a foreign film from Canada!",South_Park
6583,South_17,2698338569,0,"All right, here you go.",South_Park
6584,South_18,2698338569,0,"- But be back for supper. - Thanks, Mom.",South_Park
6585,South_19_20_21_22_23_24_25,2698338569,0,"Oh, what a picture-perfect child Just like Jesus, he's tender and mild He'd wear a smile while he wore a thorny crown What an angel with a heart so sweet and sure And a mind so open and pure Thank God we live in this quiet redneck mountain town Dude! Dude, wake up!",South_Park
6586,South_26,2698338569,0,"Kenny, come on!",South_Park
6587,South_27,2698338569,0,"Kenny, the Terrance and Phillip movie is out. You wanna come?",South_Park
6588,South_28,2698338569,0,Where do you think you're going?,South_Park
6589,South_29,2698338569,0,You can't! You have to go to church!,South_Park
6590,South_30,2698338569,0,"Well, fine, you go ahead and miss church!",South_Park
6591,South_31,2698338569,0,"And then when you die and go to hell, you can answer to Satan!",South_Park
6592,South_32_33_34_35_36_37,2698338569,1,"You can see your breath hanging in the air You see homeless people but you just don't care It's a sea of smiles in which we'd be glad to drown That's right It's Sunday morning In our quiet little white-bread redneck mountain town - Ready, Ike? Kick the baby! - Don't kick the baby.",South_Park
6593,South_38,2698338569,1,Kick the baby.,South_Park
6594,South_39,2698338569,0,"Ike, you broke another window! That's a bad baby! Bad baby!",South_Park
6595,South_40,2698338569,0,"Kyle, we're going to the Terrance and Phillip movie!",South_Park
6596,South_41,2698338569,0,"Oh, my God, dude!",South_Park
6597,South_42,2698338569,0,"- Kyle, where are you going? - Uh... We're going ice skating.",South_Park
6598,South_43,2698338569,0,"Well, take your little brother out with you.",South_Park
6599,South_44,2698338569,0,"Oh, Mom. He's not even my real brother. He's adopted!",South_Park
6600,South_45,2698338569,0,"Do as I say, Kyle!",South_Park
6601,South_46,2698338569,0,Okay! Okay! I'm sorry!,South_Park
6602,South_47_48_49_50_51_52,2698338569,0,"Look at those frail and fragile boys It really gets me down The world is such a rotten place and city life's a complete disgrace That's why I moved to this redneck, meshugana Quiet mountain town Ike! Bad baby!",South_Park
6603,South_53_54,2698338569,0,"This program is brought to you by Snacky Smores, the creamy fun of smores in a delightful cookie crunch.",South_Park
6604,South_55,2698338569,0,Mom! Somebody's at the door!,South_Park
6605,South_56,2698338569,0,"- Coming, hon. - I can't see the TV!",South_Park
6606,South_57_58_59,2698338569,0,It's been six weeks since Saddam Hussein was killed by a pack of wild boars and the world is still glad to be rid of him.,South_Park
6607,South_60,2698338569,0,"- Oh! Look, Eric, it's your little friends. - Spider-Man!",South_Park
6608,South_61,2698338569,0,What are you guys doing here?,South_Park
6609,South_62,2698338569,0,"Oh! Sweet, dude! Yes! Yes!",South_Park
6610,South_63_64_65_66_67_68,2698338569,0,Off to the movies we shall go Where we learn everything that we know 'Cause the movies teach us what our parents don't have time to say And this movie's gonna make our lives complete 'Cause Terrance and Phillip are sweet Super sweet.,South_Park
6611,South_69_70,2698338569,0,"Thank God we live in the quiet little redneck, Podunk, white-trash U.S.A.",South_Park
6612,South_71,2698338569,1,Can I have five tickets to Terrance and Phillip Asses of Fire?,South_Park
6613,South_72_73,2698338569,0,"No. What do you mean, no?",South_Park
6614,South_74_75,2698338569,0,Terrance and Phillip Asses of Fire has been rated R by the Motion Picture Association of America.,South_Park
6615,South_76,2698338569,0,You have to be accompanied by a parent or guardian.,South_Park
6616,South_77_78,2698338569,0,- But why? - Because this movie has naughty language!,South_Park
6617,South_79,2698338569,0,"Next, please.",South_Park
6618,South_80,2698338569,0,"- This can't be happening! - We have to see this movie, dude!",South_Park
6619,South_81,2698338570,0,Screw it! It probably isn't all that good anyway.,South_Park
6620,South_82,2698338570,0,"Cartman, what are you talking about? You love Terrance and Phillip!",South_Park
6621,South_83,2698338570,0,"Yeah, but the animation's all crappy.",South_Park
6622,South_84,2698338570,0,"Wait, I've got an idea!",South_Park
6623,South_85,2698338570,1,"Hi, I want six tickets to Asses of Fire.",South_Park
6624,South_86,2698338570,0,This movie might not be appropriate for your little ones.,South_Park
6625,South_87,2698338570,0,"Hey, he says this movie isn't appropriate for you.",South_Park
6626,South_88_89_90,2698338570,0,"Look, Mr. Homeless Guy, if you don't wanna buy us tickets and not get your 10 bucks and not go buy yourself a bottle of vodka, then be my guest.",South_Park
6627,South_91,2698338570,0,"Six tickets, please.",South_Park
6628,South_92,2698338570,0,"- Let me have some candy, Cartman. - Oh! Let's see.",South_Park
6629,South_93,2698338570,1,"Nope, I don't have any Jewish candy.",South_Park
6630,South_94,2698338570,1,"Like you really need all that chocolate, fat boy!",South_Park
6631,South_95,2698338570,0,Shh! The movie's starting.,South_Park
6632,South_96_97_98,2698338570,0,"Hooray! Say, Terrance, what did the Spanish priest say to the Iranian gynecologist?",South_Park
6633,South_99,2698338570,0,"I don't know, Phillip. What?",South_Park
6634,South_100,2698338570,0,Where do they come up with this stuff?,South_Park
6635,South_101,2698338570,1,"You're such a pig fucker, Phillip!",South_Park
6636,South_102,2698338570,0,What did he say?,South_Park
6637,South_103,2698338570,1,"Terrance, why would you call me a pig fucker?",South_Park
6638,South_104,2698338570,1,"Let's see. First of all, you fuck pigs.",South_Park
6639,South_105,2698338570,0,"Oh, yeah!",South_Park
6640,South_106,2698338570,1,Yeah. Fuck my ass and call me a bitch!,South_Park
6641,South_107,2698338570,1,- Oh! You shit-faced cockmaster! - Wow!,South_Park
6642,South_108_109,2698338570,1,"""Shit-faced cockmaster."" Listen, you donkey-raping shit-eater!",South_Park
6643,South_110_111,2698338570,1,"""Donkey-raping shit-eater."" - You'd fuck your uncle. - You'd fuck your uncle!",South_Park
