,movie_id,batch_id,majority_answer,text,movie_name
1565,BlacKkKlansman(2018)23_2,3187958735,0,Have you seen Dr. Meade?,BlacKkKlansman
1566,BlacKkKlansman(2018)23_3,3187958735,0,Dr. Meade!,BlacKkKlansman
1567,BlacKkKlansman(2018)23_4,3187958735,0,"Oh, can you help me find Dr. Meade?",BlacKkKlansman
1568,BlacKkKlansman(2018)23_5_6,3187958735,0,"Oh... God, help us.",BlacKkKlansman
1569,BlacKkKlansman(2018)23_7,3187958735,0,"God, save the Confederacy!",BlacKkKlansman
1570,BlacKkKlansman(2018)23_10,3187958735,0,"Hello, my fellow Americans.",BlacKkKlansman
1571,BlacKkKlansman(2018)23_11,3187958735,0,They say we may have lost the battle but we didn't lose the war.,BlacKkKlansman
1572,BlacKkKlansman(2018)23_12,3187958735,0,"Yes, my friends, we are under attack.",BlacKkKlansman
1573,BlacKkKlansman(2018)23_13,3187958735,0,You may have read about this in your local newspapers or seen it on the evening news.,BlacKkKlansman
1574,BlacKkKlansman(2018)23_14,3187958735,0,That's right.,BlacKkKlansman
1575,BlacKkKlansman(2018)23_15,3187958735,0,We are living in an era marked by the spread of integration and miscegenation.,BlacKkKlansman
1576,BlacKkKlansman(2018)23_18,3187958735,0,"The ""Brown"" decision.  Ah-ah-ah!",BlacKkKlansman
1577,BlacKkKlansman(2018)23_19_20_21_22_23,3187958735,2,"The ""Brown"" decision, forced upon us by the Jewish-controlled puppets on the U.S. Supreme Court, compelling white children to go to school with an inferior race, is the final nail in a coffin...  Is the final nail in a black coffin towards America becoming a mongrel nation.",BlacKkKlansman
1578,BlacKkKlansman(2018)23_24,3187958735,0,We had a great way of life. We had... Ma-ma-ma-ma-ma!,BlacKkKlansman
1579,BlacKkKlansman(2018)23_25,3187958735,0,We had a great way of life. We had a great way of life.,BlacKkKlansman
1580,BlacKkKlansman(2018)23_26_27_28,3187958735,0,We had a great way of life until the Martin Luther Coons of this world and their army of Commies started their civil rights assault against our holy white Protestant values.,BlacKkKlansman
1581,BlacKkKlansman(2018)23_29,3187958735,2,Do you really want your precious white child going to school with Negroes?,BlacKkKlansman
1582,BlacKkKlansman(2018)23_30_31,3187958735,2,"They're lying, dirty monkeys, stopping at nothing to gain their equality with white men.",BlacKkKlansman
