,movie_id,batch_id,majority_answer,text,movie_name
3210,Django_1,4411352577,0,Who's that stumbling around in the dark?,Django_Unchained
3211,Django_2,4411352577,0,State your business or prepare to get winged!,Django_Unchained
3212,Django_3,4411352577,0,"Calm yourselves, gentlemen.",Django_Unchained
3213,Django_4,4411352577,0,I mean you no harm.,Django_Unchained
3214,Django_5,4411352577,0,I'm simply a fellow weary traveler.,Django_Unchained
3215,Django_6,4411352577,0,Oh boy.,Django_Unchained
3216,Django_7,4411352577,0,"Good cold evening, gentlemen.",Django_Unchained
3217,Django_8_9,4411352577,0,I'm looking for a pair of slave traders that go by the name of the Speck Brothers.,Django_Unchained
3218,Django_10,4411352577,0,Might that be you?,Django_Unchained
3219,Django_11,4411352577,0,Who wants to know?,Django_Unchained
3220,Django_12,4411352577,0,"Well, I do.",Django_Unchained
3221,Django_13,4411352577,0,"I'm Dr. King Schultz. This is my horse, Fritz.",Django_Unchained
3222,Django_14,4411352577,0,What kinda doctor?,Django_Unchained
3223,Django_15_16,4411352577,0,"Dentist. Now, are you the Speck Brothers?",Django_Unchained
3224,Django_17_18,4411352577,0,And did you purchase those men at the Greenville slave auction?,Django_Unchained
3225,Django_19,4411352577,0,So what?,Django_Unchained
3226,Django_20,4411352577,0,So I wish to parley with you.,Django_Unchained
3227,Django_21,4411352577,0,Speak English.,Django_Unchained
3228,Django_22,4411352577,0,Oh sorry.,Django_Unchained
3229,Django_23,4411352577,0,Please forgive me. It is a second language.,Django_Unchained
3230,Django_24_25,4411352577,0,"Now, amongst your inventory, I've been led to believe, is a specimen I'm keen to acquire.",Django_Unchained
3231,Django_26,4411352577,0,"Hello, you poor devils!",Django_Unchained
3232,Django_27_28,4411352577,0,Is there one amongst you who was formerly a resident of the Carrucan plantation?,Django_Unchained
3233,Django_29,4411352577,0,I'm from the Carrucan plantation.,Django_Unchained
3234,Django_30,4411352577,0,Who said that?,Django_Unchained
3235,Django_31,4411352577,0,What's your name?,Django_Unchained
