,number_of_dialog,start_time,end_time,dialog
0,1_2_3_4_5_6_7_8_9_10_11,"00:00:31,776","00:01:14,401","There's a bunch of birds in the sky And some deers just went running by Oh, the snow's pure and white On the earth, rich and brown Just another Sunday morning In my quiet mountain town The sun is shining and the grass is green Under the three feet of snow, I mean This is the day when it's hard to wear a frown All the happy people stop to say hello Get out of my way!"
1,12_13_14,"00:01:14,485","00:01:22,576","Even though the temperature's low It's a perfect Sunday morning in my quiet little mountain town Well, good morning, Stan."
2,15,"00:01:22,660","00:01:25,037","- Mom, can I have $8 to see a movie? - A movie?"
3,16,"00:01:25,121","00:01:27,956","Yeah, it's gonna be the best movie ever! It's a foreign film from Canada!"
4,17,"00:01:28,041","00:01:29,166","All right, here you go."
5,18,"00:01:29,250","00:01:31,877","- But be back for supper. - Thanks, Mom."
6,19_20_21_22_23_24_25,"00:01:32,128","00:01:52,064","Oh, what a picture-perfect child Just like Jesus, he's tender and mild He'd wear a smile while he wore a thorny crown What an angel with a heart so sweet and sure And a mind so open and pure Thank God we live in this quiet redneck mountain town Dude! Dude, wake up!"
7,26,"00:01:55,026","00:01:56,610","Kenny, come on!"
8,27,"00:01:57,862","00:02:00,697","Kenny, the Terrance and Phillip movie is out. You wanna come?"
9,28,"00:02:02,033","00:02:03,700",Where do you think you're going?
10,29,"00:02:04,869","00:02:06,995",You can't! You have to go to church!
11,30,"00:02:08,289","00:02:10,540","Well, fine, you go ahead and miss church!"
12,31,"00:02:10,625","00:02:14,753","And then when you die and go to hell, you can answer to Satan!"
13,32_33_34_35_36_37,"00:02:15,922","00:02:39,069","You can see your breath hanging in the air You see homeless people but you just don't care It's a sea of smiles in which we'd be glad to drown That's right It's Sunday morning In our quiet little white-bread redneck mountain town - Ready, Ike? Kick the baby! - Don't kick the baby."
14,38,"00:02:39,153","00:02:40,153",Kick the baby.
15,39,"00:02:41,572","00:02:46,493","Ike, you broke another window! That's a bad baby! Bad baby!"
16,40,"00:02:46,577","00:02:49,204","Kyle, we're going to the Terrance and Phillip movie!"
17,41,"00:02:49,288","00:02:50,372","Oh, my God, dude!"
18,42,"00:02:50,456","00:02:53,333","- Kyle, where are you going? - Uh... We're going ice skating."
19,43,"00:02:53,418","00:02:55,168","Well, take your little brother out with you."
