,dialog
0, MEN GROANING  INDISTINCT CHATTER Have you seen Dr. Meade?
1,Dr. Meade!
2,"Oh, can you help me find Dr. Meade?"
3,Oh...
4,"God, help us."
5,"God, save the Confederacy!"
6,"SOBBING, WHIMPERING ORCHESTRAL MUSIC SWELLS Hello, my fellow Americans."
7,They say we may have lost the battle but we didn't lose the war.
8,"Yes, my friends, we are under attack."
9,You may have read about this in your local newspapers or seen it on the evening news.
10,That's right.
11,We are living in an era marked by the spread of integration and miscegenation.
12,"PROJECTOR CLICKS AND RATTLES BEAUREGARD YELLS The ""Brown"" decision. CLEARS THROAT Ahahah!"
13,"The ""Brown"" decision, forced upon us by the Jewishcontrolled puppets on the U.S. Supreme Court, compelling white children to go to school with an inferior race, is the final nail in a coffin... CLEARS THROAT Is the final nail in a black coffin towards America becoming a mongrel nation."
14,We had a great way of life. We had... Mamamamama!
15,We had a great way of life.
16,We had a great way of life.
17,We had a great way of life until the Martin Luther Coons of this world and their army of Commies started their civil rights assault against our holy white Protestant values.
18,Do you really want your precious white child going to school with Negroes?
19,"They're lying, dirty monkeys, stopping at nothing to gain their equality with white men."
20," Oh, my God."
21," Rapists, murderers, craving the virgin white..."
22," Is it ""virgin pure""?"
23, WOMAN: Yes.
24,"CLEARS THROAT Rapists, murderers, craving the virgin pure flesh of white women."
25, WOMAN SCREAMS  They are super predators!
26,"And the Negro's insidious tactics, under the tutelage of highranking, bloodsucking Jews, using an army of outside northern black beast preda... what is it? ""Black beast agitat...""  WOMAN: ""Agitators.""  God, watch this! God!"
27,Using an army of outside northern black beast agitators determined to overthrow the Godcommanded and biblically inspired rule of the white race.
28,It's an international Jewish conspiracy.
29,May God bless us all.
30,"WOMAN: God bless you, too, sir."
31,BIRDS CAWING CLOCK TICKING QUIETLY Why weren't you drafted into the Vietnam War?
32," I went to college, sir."
33, How do you feel about Vietnam?
34,"I have mixed feelings, sir."
35,Would you call yourself a womanizer?
36," No, I would not, sir."
37, You frequent nightclubs?
38," No, sir."
39, CHIEF: Do you drink?
40,"Only on special occasions, sir."
41, Ever done any drugs?
