,movie_id,batch_id,majority_answer,text,movie_name
7625,TheWolfofWallStreet2013BluRay_1,3859903857,0,The world of investing can be a jungle.,TheWolfofWallStreet
7626,TheWolfofWallStreet2013BluRay_2,3859903857,0,Bulls. Bears.,TheWolfofWallStreet
7627,TheWolfofWallStreet2013BluRay_3,3859903857,0,Danger at every turn.,TheWolfofWallStreet
7628,TheWolfofWallStreet2013BluRay_4,3859903857,0,That's why we at Stratton Oakmont pride ourselves on being the best.,TheWolfofWallStreet
7629,TheWolfofWallStreet2013BluRay_5,3859903857,0,Trained professionals to guide you through the financial wilderness.,TheWolfofWallStreet
7630,TheWolfofWallStreet2013BluRay_6,3859903857,0,Stratton Oakmont.,TheWolfofWallStreet
7631,TheWolfofWallStreet2013BluRay_7_8_9_10_11_12_13,3859903857,1,Stability. Integrity. Pride. One! Two! Three! Twenty-five grand to the first cocksucker to nail a bull's-eye!,TheWolfofWallStreet
7632,TheWolfofWallStreet2013BluRay_14,3859903857,0,Come on! Let's go!,TheWolfofWallStreet
7633,TheWolfofWallStreet2013BluRay_15_16_17_18,3859903857,0,One! Two! Three! My name is Jordan Belfort.,TheWolfofWallStreet
7634,TheWolfofWallStreet2013BluRay_19,3859903857,0,Not him.,TheWolfofWallStreet
7635,TheWolfofWallStreet2013BluRay_20,3859903857,0,Me. That's right.,TheWolfofWallStreet
7636,TheWolfofWallStreet2013BluRay_21_22,3859903857,0,"I'm a former member of the middle class raised by two accountants in a tiny apartment in Bayside, Queens.",TheWolfofWallStreet
7637,TheWolfofWallStreet2013BluRay_23_24_25,3859903857,0,"The year I turned 26, as the head of my own brokerage firm, I made $49 million, which really pissed me off because it was three shy of a million a week.",TheWolfofWallStreet
7638,TheWolfofWallStreet2013BluRay_26_27,3859903857,0,"No, no, no. My Ferrari was white, like Don Johnson's in Miami Vice. Not red.",TheWolfofWallStreet
7639,TheWolfofWallStreet2013BluRay_28,3859903857,0,See that humongous estate down there?,TheWolfofWallStreet
7640,TheWolfofWallStreet2013BluRay_29,3859903857,0,That's my house.,TheWolfofWallStreet
7641,TheWolfofWallStreet2013BluRay_30,3859903857,0,For millionaires whose ships...,TheWolfofWallStreet
7642,TheWolfofWallStreet2013BluRay_31_32,3859903857,0,"My wife, Naomi, the Duchess of Bay Ridge, Brooklyn, a former model and Miller Lite girl.",TheWolfofWallStreet
